topic,x,y
0,-0.12166200434289143,-0.440309074800108
1,0.37629048009219923,0.3382291967865627
2,-0.5347980561348319,-0.05672545507085828
3,-0.28748762669556716,0.024505068028413474
4,0.192448085769164,-0.045337669311955965
5,0.24271274539821527,-0.22873217707319604
6,0.41600130333241064,-0.05487597320259125
7,-0.23489355270830065,-0.368928056127425
8,-0.19897942674410007,0.34124866209379656
9,0.20756669755905294,0.08320339283836034
10,0.2260838502195413,-0.4510318043860097
11,-0.00166499728880928,-0.17587309858119213
12,0.06633874277240018,0.36716723497253906
13,-0.016069504970641257,-0.01120161721378039
14,0.3582362426110125,-0.18992276720669235
15,0.062449450144951804,-0.413813026334264
16,-0.05477202144233955,0.515732219934211
17,0.22135425934753084,0.47707252115584886
18,-0.42441395836058365,-0.26339946335490144
19,0.34422931524330047,0.036434023465008535
20,-0.43880679839592135,0.15359156352468434
21,-0.4001632254057925,0.3629662998635495
